,,AB07CC0030 (Grid 1325) (mg/l),mg/m3,Discharge(m3/s),observed_load (mg/s)
15-01-2002,4:30:00 PM,2,2000,120,240000
16-04-2002,3:25:00 PM,2,2000,98,196000
15-05-2002,3:15:00 PM,71.7,71700,391,28034700
20-06-2002,7:15:00 AM,268,268000,850,227800000
18-07-2002,7:30:00 AM,61,61000,751,45811000
05-09-2002,12:15:00 PM,15,15000,523,7845000
09-10-2002,2:30:00 PM,3,3000,365,1095000
16-01-2003,12:00:00 PM,3,3000,121,363000
27-03-2003,9:15:00 AM,3,3000,122,366000
13-05-2003,4:00:00 PM,181,181000,688,124528000
05-06-2003,11:30:00 AM,582,582000,1200,698400000
07-07-2003,11:00:00 AM,125,125000,1320,165000000
19-08-2003,6:00:00 AM,44,44000,671,29524000
10-09-2003,10:00:00 AM,7,7000,395,2765000
15-10-2003,10:30:00 AM,2,2000,365,730000
20-11-2003,3:45:00 PM,2,2000,229,458000
24-03-2004,4:00:00 PM,3,3000,162,486000
21-04-2004,7:30:00 AM,104,104000,734,76336000
26-05-2004,2:30:00 PM,69,69000,537,37053000
23-06-2004,8:15:00 AM,380,380000,1140,433200000
15-07-2004,7:45:00 AM,552,552000,1860,1026720000
18-08-2004,8:30:00 AM,48,48000,597,28656000
27-09-2004,2:30:00 PM,227,227000,981,222687000
20-10-2004,2:30:00 PM,10,10000,539,5390000
07-12-2004,3:00:00 PM,2,2000,167,334000
17-02-2005,9:15:00 AM,1,1000,166,166000
16-03-2005,2:30:00 PM,2,2000,283,566000
07-04-2005,1:30:00 PM,10,10000,320,3200000
11-05-2005,9:30:00 AM,89,89000,655,58295000
15-06-2005,10:00:00 AM,107,107000,1020,109140000
19-07-2005,11:30:00 AM,61,61000,987,60207000
18-08-2005,10:30:00 AM,2,2000,837,1674000
14-09-2005,2:05:00 PM,17,17000,665,11305000
24-10-2005,12:45:00 PM,7,7000,531,3717000
11-01-2006,12:30:00 PM,76,76000,178,13528000
07-03-2006,12:30:00 PM,3,3000,160,480000
11-04-2006,8:45:00 AM,4,4000,257,1028000
09-05-2006,10:00:00 AM,38,38000,607,23066000
06-06-2006,7:45:00 AM,82,82000,953,78146000
04-07-2006,1:35:00 PM,25,25000,714,17850000
01-08-2006,9:55:00 AM,25,25000,693,17325000
05-09-2006,12:15:00 PM,3,3000,462,1386000
04-10-2006,12:05:00 PM,25,25000,611,15275000
02-11-2006,11:10:00 AM,3,3000,327,981000
05-12-2006,10:40:00 AM,1,1000,226,226000
09-01-2007,10:00:00 AM,1,1000,159,159000
19-03-2007,2:05:00 PM,1,1000,141,141000
17-04-2007,10:45:00 AM,9,9000,237,2133000
16-05-2007,10:15:00 AM,780,780000,2000,1560000000
20-06-2007,12:30:00 PM,134,134000,1020,136680000
17-07-2007,12:30:00 PM,54,54000,880,47520000
21-08-2007,12:00:00 PM,27,27000,676,18252000
17-09-2007,12:10:00 PM,15,15000,524,7860000
16-10-2007,1:45:00 PM,18,18000,341,6138000
22-11-2007,10:15:00 AM,4,4000,260,1040000
18-12-2007,1:40:00 PM,14,14000,182,2548000
14-01-2008,12:40:00 PM,4,4000,187,748000
11-02-2008,12:10:00 PM,4,4000,135,540000
10-03-2008,12:00:00 PM,10,10000,136,1360000
16-04-2008,3:00:00 PM,1,1000,231,231000
12-05-2008,2:30:00 PM,280,280000,1370,383600000
